Blue	A	1	50	50	
Blue	A	2	50	50	
Blue	A	3	50	50	RAILWAY CROSSING
Blue	A	4	50	50	
Blue	A	5	50	50	Switch ( 5 to 6) or (5 to 11)
Blue	B	6	50	50	Switch ( 5 to 6); Light
Blue	B	7	50	50	
Blue	B	8	50	50	
Blue	B	9	50	50	Transponder
Blue	B	10	50	50	Station B
Blue	C	11	50	50	Switch (5 to 11); Light
Blue	C	12	50	50	
Blue	C	13	50	50	
Blue	C	14	50	50	Transponder
Blue	C	15	50	50	Station C
Red A	1	50	40		
Green	I	48	50	30	STATION; INGLEWOOD; UNDERGROUND	Right
Green	I	49	50	30	UNDERGROUND	
Green	I	50	50	30	UNDERGROUND	
Green	I	51	50	30	UNDERGROUND	
Green	I	52	50	30	UNDERGROUND	
Green	I	53	50	30	UNDERGROUND	
Green	I	54	50	30	UNDERGROUND	
Green	I	55	50	30	UNDERGROUND	
Green	I	56	50	30	UNDERGROUND	
Green	I	57	50	30	STATION; OVERBROOK; UNDERGROUND	Right
Green	J	58	50	30	SWITCH TO YARD (57-yard)	
Green	J	59	50	30		
Green	J	60	50	30		
Green	J	61	50	30		
Green	J	62	50	30	SWITCH FROM YARD (Yard-63)	
Green	K	63	100	70		
Green	K	64	100	70		
Green	K	65	200	70	STATION; GLENBURY	Right
Green	K	66	200	70		
Green	K	67	100	40		
Green	K	68	100	40		
Green	L	69	100	40		
Green	L	70	100	40		
Green	L	71	100	40		
Green	L	72	100	40		
Green	L	73	100	40	STATION; DORMONT	Right
Green	M	74	100	40		
Green	M	75	100	40		
Green	M	76	100	40	SWITCH (76-77;77-101)	
Green	N	77	300	70	STATION; MT LEBANON	Left/Right
Green	N	78	300	70		
Green	N	79	300	70		
Green	N	80	300	70		
Green	N	81	300	70		
Green	N	82	300	70		
Green	N	83	300	70		
Green	N	84	300	70		
Green	N	85	300	70	SWITCH (85-86; 100-85)	
Green	O	86	100	25		
Green	O	87	86.6	25		
Green	O	88	100	25	STATION; POPLAR	Left
Green	P	89	75	25		
Green	P	90	75	25		
Green	P	91	75	25		
Green	P	92	75	25		
Green	P	93	75	25		
Green	P	94	75	25		
Green	P	95	75	25		
Green	P	96	75	25	STATION;   CASTLE SHANNON	Left
Green	P	97	75	25		
Green	Q	98	75	25		
Green	Q	99	75	25		
Green	Q	100	75	25		
Green	R	101	35	26		
Green	S	102	100	28		
Green	S	103	100	28		
Green	S	104	80	28		
Green	T	105	100	28	STATION; DORMONT	Right
Green	T	106	100	28		
Green	T	107	90	28		
Green	T	108	100	28	RAILWAY CROSSING	
Green	T	109	100	28		
Green	U	110	100	30		
Green	U	111	100	30		
Green	U	112	100	30		
Green	U	113	100	30		
Green	U	114	162	30	STATION; GLENBURY	Right
Green	U	115	100	30		
Green	U	116	100	30		
Green	V	117	50	15		
Green	V	118	50	15		
Green	V	119	40	15		
Green	V	120	50	15		
Green	V	121	50	15		
Green	W	122	50	20	UNDERGROUND	
Green	W	123	50	20	STATION; OVERBROOK; UNDERGROUND	Right
Green	W	124	50	20	UNDERGROUND	
Green	W	125	50	20	UNDERGROUND	
Green	W	126	50	20	UNDERGROUND	
Green	W	127	50	20	UNDERGROUND	
Green	W	128	50	20	UNDERGROUND	
Green	W	129	50	20	UNDERGROUND	
Green	W	130	50	20	UNDERGROUND	
Green	W	131	50	20	UNDERGROUND	
Green	W	132	50	20	STATION; INGLEWOOD; UNDERGROUND	Left
Green	W	133	50	20	UNDERGROUND	
Green	W	134	50	20	UNDERGROUND	
Green	W	135	50	20	UNDERGROUND	
Green	W	136	50	20	UNDERGROUND	
Green	W	137	50	20	UNDERGROUND	
Green	W	138	50	20	UNDERGROUND	
Green	W	139	50	20	UNDERGROUND	
Green	W	140	50	20	UNDERGROUND	
Green	W	141	50	20	STATION; CENTRAL; UNDERDROUND	Right
Green	W	142	50	20	UNDERGROUND	
Green	W	143	50	20	UNDERGROUND	
Green	X	144	50	20		
Green	X	145	50	20		
Green	X	146	50	20		
Green	Y	147	50	20		
Green	Y	148	184	20		
Green	Y	149	40	20		
Green	Z	150	35	20		
